log regularization parameter,Population risk,Empirical risk,Risk bound,Bayes risk,Distribution
-6.0,0.32970440767009723,2.4767254592374173e-08,0.42036997780995466,0.26717136965212185,Gaussian
-6.0,0.29547757740307395,1.4264190866077324e-08,0.28360550302470583,0.26717136965212185,Gaussian
-6.0,0.3012054898640964,2.0233681802087022e-08,0.3593780572308502,0.26717136965212185,Gaussian
-6.0,0.3303236754056834,2.306105948696927e-08,0.39437983686942313,0.26717136965212185,Gaussian
-6.0,0.2802718215522747,1.1496625759226099e-08,0.2439511079896455,0.26717136965212185,Gaussian
-6.0,0.31904327876627303,2.826779553999299e-08,0.4612704963621604,0.26717136965212185,Gaussian
-6.0,0.3037126461579677,2.37054449883503e-08,0.4096393952841252,0.26717136965212185,Gaussian
-6.0,0.3080244664869974,1.9660593624243803e-08,0.3461682071614592,0.26717136965212185,Gaussian
-6.0,0.30638504516901566,2.2500958333797183e-08,0.38494922951667476,0.26717136965212185,Gaussian
-6.0,0.31371810267685013,1.817437553529796e-08,0.3192622438450277,0.26717136965212185,Gaussian
-6.0,0.3381597180297547,3.0058507513132086e-08,0.49936628595872923,0.26717136965212185,Gaussian
-6.0,0.30439580592860055,1.0434015756672408e-08,0.21998675452498478,0.26717136965212185,Gaussian
-6.0,0.32137815825943716,2.2040437385685197e-08,0.3753522964136114,0.26717136965212185,Gaussian
-6.0,0.2971060896565132,1.6501357062406785e-08,0.30646356986359263,0.26717136965212185,Gaussian
-6.0,0.2963177080004533,1.3802766478685875e-08,0.2715731415744666,0.26717136965212185,Gaussian
-6.0,0.3181786467428172,2.9125731617978925e-08,0.47121641703969475,0.26717136965212185,Gaussian
-6.0,0.33141752146492565,2.3680673170097e-08,0.39816872657500635,0.26717136965212185,Gaussian
-6.0,0.296559395478655,1.692039091671798e-08,0.32215089979526457,0.26717136965212185,Gaussian
-6.0,0.32077263910432635,2.25651729142133e-08,0.40298266563755003,0.26717136965212185,Gaussian
-6.0,0.30937425610303776,2.085011171309328e-08,0.35445387409523094,0.26717136965212185,Gaussian
-6.0,0.3124377156918088,1.9672066170823454e-08,0.3556459691546384,0.26717136965212185,Gaussian
-6.0,0.30650703426847914,1.7226483200417905e-08,0.31568128162943515,0.26717136965212185,Gaussian
-6.0,0.3081675271466397,2.0209047838645403e-08,0.3538762341831364,0.26717136965212185,Gaussian
-6.0,0.31485418399674425,2.5369852506972506e-08,0.43374339500217596,0.26717136965212185,Gaussian
-6.0,0.3012700417378542,1.3892718446421841e-08,0.27999673647185674,0.26717136965212185,Gaussian
-6.0,0.31019906474526715,2.072672133256389e-08,0.363698869737955,0.26717136965212185,Gaussian
-6.0,0.3239992135965511,2.184420950674318e-08,0.3857164259305344,0.26717136965212185,Gaussian
-6.0,0.29486955851503144,1.27974987133819e-08,0.26378398384763985,0.26717136965212185,Gaussian
-6.0,0.2999431851776374,1.4500270836998316e-08,0.2838015823356343,0.26717136965212185,Gaussian
-6.0,0.3248638009169057,2.089864723779625e-08,0.36194173986743394,0.26717136965212185,Gaussian
-6.0,0.3126466168444408,1.809327252759301e-08,0.3278041586414347,0.26717136965212185,Gaussian
-6.0,0.3001616044907269,1.7750989946132547e-08,0.3201830620369359,0.26717136965212185,Gaussian
-6.0,0.30365838282380353,2.0364596447240458e-08,0.3761724185866092,0.26717136965212185,Gaussian
-6.0,0.3266762541151503,2.4514880784449107e-08,0.41197794173249574,0.26717136965212185,Gaussian
-6.0,0.31660758036931036,2.3903993774791073e-08,0.42875534158125467,0.26717136965212185,Gaussian
-6.0,0.31531667640589894,1.84775173442449e-08,0.3274798443487165,0.26717136965212185,Gaussian
-6.0,0.313031921417325,1.6366174478045518e-08,0.31495552303002305,0.26717136965212185,Gaussian
-6.0,0.3146691732801868,1.6007968163291223e-08,0.2934130620697873,0.26717136965212185,Gaussian
-6.0,0.306916857463093,1.8311472606805697e-08,0.3480884916166875,0.26717136965212185,Gaussian
-6.0,0.29864750301234677,1.3377492214706746e-08,0.2703121643602447,0.26717136965212185,Gaussian
-6.0,0.31355947960419833,1.6151355135614495e-08,0.3104007392019144,0.26717136965212185,Gaussian
-6.0,0.303242889461212,1.876413632684734e-08,0.3395686373902921,0.26717136965212185,Gaussian
-6.0,0.33837870598597747,1.4885577001918732e-08,0.28838481101657,0.26717136965212185,Gaussian
-6.0,0.3250232331047374,1.7568776702846692e-08,0.31591378090578953,0.26717136965212185,Gaussian
-6.0,0.29879861905160476,1.7607821147718606e-08,0.31481975493287745,0.26717136965212185,Gaussian
-6.0,0.3169028484225819,2.500080669471417e-08,0.4275861356733058,0.26717136965212185,Gaussian
-6.0,0.2904526038465436,1.17327401101895e-08,0.24372166833684386,0.26717136965212185,Gaussian
-6.0,0.31893833225209994,2.349215807289466e-08,0.4064511446162237,0.26717136965212185,Gaussian
-6.0,0.3307540588242549,1.9452791385496915e-08,0.34296532356031734,0.26717136965212185,Gaussian
-6.0,0.3051902181916437,1.7410476346868953e-08,0.30140072380645533,0.26717136965212185,Gaussian
-5.052631578947368,0.3203909931657793,1.6445426274713986e-07,0.4203787968388553,0.26717136965212185,Gaussian
-5.052631578947368,0.299418033166374,9.526630442190132e-08,0.28362790444898045,0.26717136965212185,Gaussian
-5.052631578947368,0.30564468818236445,1.3442685687410012e-07,0.3593937883965165,0.26717136965212185,Gaussian
-5.052631578947368,0.3300678148434978,1.5372483039797343e-07,0.3943889957961222,0.26717136965212185,Gaussian
-5.052631578947368,0.29215955026957674,7.631510407794128e-08,0.24397949780286093,0.26717136965212185,Gaussian
-5.052631578947368,0.31923738839594923,1.8751714845568512e-07,0.4612743635259758,0.26717136965212185,Gaussian
-5.052631578947368,0.3045960988156485,1.5752195432350623e-07,0.40965303489739846,0.26717136965212185,Gaussian
-5.052631578947368,0.30278724929123935,1.3056108605481523e-07,0.34618209430543784,0.26717136965212185,Gaussian
-5.052631578947368,0.3082855592172238,1.495544130942159e-07,0.38496064655171747,0.26717136965212185,Gaussian
-5.052631578947368,0.31245532641851614,1.2089422018190477e-07,0.319276551904379,0.26717136965212185,Gaussian
-5.052631578947368,0.33299427032056517,1.9905107796885758e-07,0.4993743678202291,0.26717136965212185,Gaussian
-5.052631578947368,0.30689556540599716,6.967778690033828e-08,0.22000831711742355,0.26717136965212185,Gaussian
-5.052631578947368,0.31853521052802025,1.4606945660356182e-07,0.37536195213195145,0.26717136965212185,Gaussian
-5.052631578947368,0.2835544856886866,1.0930548082640999e-07,0.30648399671349674,0.26717136965212185,Gaussian
-5.052631578947368,0.29398007709059293,9.173504014365854e-08,0.27159626982019647,0.26717136965212185,Gaussian
-5.052631578947368,0.320548569737731,1.9401926466200245e-07,0.4712184998009295,0.26717136965212185,Gaussian
-5.052631578947368,0.3255447481672235,1.5769785251033717e-07,0.3981744243008365,0.26717136965212185,Gaussian
-5.052631578947368,0.2904146027013903,1.1303210702149552e-07,0.3221732242490812,0.26717136965212185,Gaussian
-5.052631578947368,0.31955026830641764,1.496507128063391e-07,0.4030002543614084,0.26717136965212185,Gaussian
-5.052631578947368,0.3053855615345181,1.3829951872952003e-07,0.3544646492173554,0.26717136965212185,Gaussian
-5.052631578947368,0.3164996995650737,1.3093456589800735e-07,0.35566215387548133,0.26717136965212185,Gaussian
-5.052631578947368,0.31856573291067153,1.1443437483495482e-07,0.3156988984315201,0.26717136965212185,Gaussian
-5.052631578947368,0.3008467661380015,1.3426142182922393e-07,0.35389100695795905,0.26717136965212185,Gaussian
-5.052631578947368,0.3129905306232055,1.6855646472317437e-07,0.4337539877010966,0.26717136965212185,Gaussian
-5.052631578947368,0.2906240985024133,9.241042401878651e-08,0.2800226048745087,0.26717136965212185,Gaussian
-5.052631578947368,0.31028469082325205,1.376091229147551e-07,0.3637129910886493,0.26717136965212185,Gaussian
-5.052631578947368,0.32295080470254417,1.4434168567860823e-07,0.3857320635523132,0.26717136965212185,Gaussian
-5.052631578947368,0.2837978353229069,8.501820257145728e-08,0.26380936736321675,0.26717136965212185,Gaussian
-5.052631578947368,0.30145140788050356,9.666831314094865e-08,0.2838240663907096,0.26717136965212185,Gaussian
-5.052631578947368,0.32374786030343694,1.3889345302176634e-07,0.36195583700966344,0.26717136965212185,Gaussian
-5.052631578947368,0.3176076470760149,1.2041864354251766e-07,0.32781992147659533,0.26717136965212185,Gaussian
-5.052631578947368,0.2996185987422172,1.1756310295540368e-07,0.32019898242609646,0.26717136965212185,Gaussian
-5.052631578947368,0.3026406939279941,1.348833862144102e-07,0.37619495840559836,0.26717136965212185,Gaussian
-5.052631578947368,0.3210396137187285,1.6240611213551846e-07,0.4119878086386428,0.26717136965212185,Gaussian
-5.052631578947368,0.30624814617037976,1.5859478051161356e-07,0.4287748642336258,0.26717136965212185,Gaussian
-5.052631578947368,0.3121205903917257,1.227681945653193e-07,0.32749408795741713,0.26717136965212185,Gaussian
-5.052631578947368,0.3039463811950931,1.0883080927519996e-07,0.31497903936715227,0.26717136965212185,Gaussian
-5.052631578947368,0.31776540627664346,1.0616357895704471e-07,0.2934296807993765,0.26717136965212185,Gaussian
-5.052631578947368,0.30996653539762126,1.2249329316392985e-07,0.348109960824853,0.26717136965212185,Gaussian
-5.052631578947368,0.2959040404855984,8.893049135812586e-08,0.2703348155631024,0.26717136965212185,Gaussian
-5.052631578947368,0.30582657020704623,1.0697392717894606e-07,0.31042139683897885,0.26717136965212185,Gaussian
-5.052631578947368,0.3183175583573931,1.242878704244162e-07,0.3395866044645028,0.26717136965212185,Gaussian
-5.052631578947368,0.3357298112937653,9.891217755250465e-08,0.2884039943607643,0.26717136965212185,Gaussian
-5.052631578947368,0.3229278177124399,1.1667937375154343e-07,0.31592857026350923,0.26717136965212185,Gaussian
-5.052631578947368,0.2972697029163972,1.1592990768024636e-07,0.31483760411063183,0.26717136965212185,Gaussian
-5.052631578947368,0.31441858928736954,1.6608328142135787e-07,0.42759824145568776,0.26717136965212185,Gaussian
-5.052631578947368,0.29774320201974236,7.777631702434287e-08,0.24374790646109928,0.26717136965212185,Gaussian
-5.052631578947368,0.3152989818894023,1.5639439474416558e-07,0.4064632489007367,0.26717136965212185,Gaussian
-5.052631578947368,0.3343608352133918,1.2969310080161805e-07,0.34297697858291615,0.26717136965212185,Gaussian
-5.052631578947368,0.30624285907075643,1.1589262536128144e-07,0.3014142696898885,0.26717136965212185,Gaussian
-4.105263157894737,0.3254412602712603,1.091117286189317e-06,0.42040158986171045,0.26717136965212185,Gaussian
-4.105263157894737,0.2978933914949956,6.336220034979107e-07,0.28368570316104735,0.26717136965212185,Gaussian
-4.105263157894737,0.301008581166785,8.921307648399114e-07,0.35943438634831865,0.26717136965212185,Gaussian
-4.105263157894737,0.3365195488819123,1.0214818619231524e-06,0.3944126605477664,0.26717136965212185,Gaussian
-4.105263157894737,0.28328855678046,5.064459473269625e-07,0.24405269840449423,0.26717136965212185,Gaussian
-4.105263157894737,0.3228778001936256,1.2436129497182428e-06,0.46128442812934634,0.26717136965212185,Gaussian
-4.105263157894737,0.30514686025419807,1.045452884313547e-06,0.4096882462382732,0.26717136965212185,Gaussian
-4.105263157894737,0.31343838482455183,8.663058016507353e-07,0.3462179410641271,0.26717136965212185,Gaussian
-4.105263157894737,0.3137343001617286,9.926561046635985e-07,0.384990124535849,0.26717136965212185,Gaussian
-4.105263157894737,0.3160730757897995,8.029395369498341e-07,0.31931371260517266,0.26717136965212185,Gaussian
-4.105263157894737,0.32781084734854804,1.3182498760162525e-06,0.4993951561269433,0.26717136965212185,Gaussian
-4.105263157894737,0.3071806208635117,4.63416352066948e-07,0.2200639180341957,0.26717136965212185,Gaussian
-4.105263157894737,0.32235321557961377,9.685949606697092e-07,0.3753870013368401,0.26717136965212185,Gaussian
-4.105263157894737,0.2854994700714917,7.246054810968891e-07,0.30653669930435873,0.26717136965212185,Gaussian
-4.105263157894737,0.29573602470689353,6.089802057390009e-07,0.2716559246144773,0.26717136965212185,Gaussian
-4.105263157894737,0.32074759767130673,1.2864071909123493e-06,0.47122386807590155,0.26717136965212185,Gaussian
-4.105263157894737,0.33526035755483574,1.0488064698366954e-06,0.39818923412386925,0.26717136965212185,Gaussian
-4.105263157894737,0.29745181419303035,7.518342360345611e-07,0.3222308286822278,0.26717136965212185,Gaussian
-4.105263157894737,0.3163953550680387,9.925006112408344e-07,0.40304562914146647,0.26717136965212185,Gaussian
-4.105263157894737,0.3047448110146181,9.170253297222631e-07,0.35449252636894374,0.26717136965212185,Gaussian
-4.105263157894737,0.31805004085157723,8.695778554681474e-07,0.3557039063713538,0.26717136965212185,Gaussian
-4.105263157894737,0.30997939995029794,7.594387550237512e-07,0.3157443494666166,0.26717136965212185,Gaussian
-4.105263157894737,0.3025894929828383,8.910338200717576e-07,0.3539291238583512,0.26717136965212185,Gaussian
-4.105263157894737,0.30961109647245155,1.1185777497511425e-06,0.4337813842571033,0.26717136965212185,Gaussian
-4.105263157894737,0.30207618813642123,6.133289401861754e-07,0.2800893360651149,0.26717136965212185,Gaussian
-4.105263157894737,0.3015458158373428,9.129961751906257e-07,0.363749489220214,0.26717136965212185,Gaussian
-4.105263157894737,0.3256712342852081,9.559698380677098e-07,0.38577241709874516,0.26717136965212185,Gaussian
-4.105263157894737,0.2940958916854518,5.643035498804699e-07,0.2638748149619169,0.26717136965212185,Gaussian
-4.105263157894737,0.2928430460472012,6.424701854451814e-07,0.2838820505650435,0.26717136965212185,Gaussian
-4.105263157894737,0.3187206432351234,9.217753092824049e-07,0.3619922204401469,0.26717136965212185,Gaussian
-4.105263157894737,0.31637360369792933,7.997168544428754e-07,0.3278605871197279,0.26717136965212185,Gaussian
-4.105263157894737,0.3042333774417831,7.792699613905351e-07,0.3202400773398666,0.26717136965212185,Gaussian
-4.105263157894737,0.3106801859034552,8.942288260202428e-07,0.376253098042455,0.26717136965212185,Gaussian
-4.105263157894737,0.32872220760249204,1.0766049431723244e-06,0.4120132974057841,0.26717136965212185,Gaussian
