log regularization parameter,Population risk,Empirical risk,Risk bound,Bayes risk,Distribution
-15.0,1.8162026858081841,1.5155412158190138e-10,319205.1164423449,0.26717136965212185,Gaussian
-15.0,1.9067200260983903,5.89245233534853e-11,197447.15918520227,0.26717136965212185,Gaussian
-15.0,1.9622885789173796,4.9016917049621285e-11,247297.97199665988,0.26717136965212185,Gaussian
-15.0,1.8454628705608074,8.944539101471375e-11,266407.67495026044,0.26717136965212185,Gaussian
-15.0,1.9219120112869053,4.5666420090576403e-11,329412.15184580034,0.26717136965212185,Gaussian
-15.0,1.928408182031837,6.988989128945778e-11,317476.60916118626,0.26717136965212185,Gaussian
-15.0,1.9123088863493825,9.073757786831326e-11,336319.3781115853,0.26717136965212185,Gaussian
-15.0,1.8831958064681036,9.138233785064074e-11,241164.89632264499,0.26717136965212185,Gaussian
-15.0,1.8421632574731743,7.084782015416102e-11,209374.92767636882,0.26717136965212185,Gaussian
-15.0,1.9026808403796847,4.842370439949889e-11,234086.58928396576,0.26717136965212185,Gaussian
-15.0,1.9547705064715866,8.410776232533142e-11,296713.7876921031,0.26717136965212185,Gaussian
-15.0,1.82553519574578,7.826004256086402e-11,334830.01506111823,0.26717136965212185,Gaussian
-15.0,1.8839955928798955,1.3913862283941427e-10,398873.37578538037,0.26717136965212185,Gaussian
-15.0,1.9646177950770103,8.875156936544256e-11,331733.0130136017,0.26717136965212185,Gaussian
-15.0,1.8812673177886143,6.887873975969039e-11,333635.4211201309,0.26717136965212185,Gaussian
-15.0,1.8573355786597,6.147675089162381e-11,276338.3227604924,0.26717136965212185,Gaussian
-15.0,1.9125194354020045,1.7022956880727847e-10,340266.5739816979,0.26717136965212185,Gaussian
-15.0,1.897620669824523,7.99059901688179e-11,302034.62556026643,0.26717136965212185,Gaussian
-15.0,1.9289223390416854,4.74536072413871e-11,313443.09925079456,0.26717136965212185,Gaussian
-15.0,1.9120658374091166,7.588921424865452e-11,213911.0480647116,0.26717136965212185,Gaussian
-15.0,1.995850253059196,1.0168663707445334e-10,392315.4675084313,0.26717136965212185,Gaussian
-15.0,1.9208883367857696,6.457848527601409e-11,340352.1721121721,0.26717136965212185,Gaussian
-15.0,1.926002273582359,6.575181366666033e-11,262145.64045019704,0.26717136965212185,Gaussian
-15.0,1.995456469751455,8.52602708314703e-11,332601.57455384923,0.26717136965212185,Gaussian
-15.0,1.9818310148220357,6.957760269391632e-11,256688.61017723678,0.26717136965212185,Gaussian
-15.0,1.9189840881827382,9.45870944752202e-11,364557.4923554092,0.26717136965212185,Gaussian
-15.0,1.938358309798054,2.4465006205064982e-11,241846.1308758312,0.26717136965212185,Gaussian
-15.0,1.9225473786177645,7.889742024266133e-11,309602.8473255581,0.26717136965212185,Gaussian
-15.0,1.8234762659410393,7.508464821293015e-11,352760.78529145423,0.26717136965212185,Gaussian
-15.0,1.9560889338444243,4.0353493078919255e-11,336434.12222300255,0.26717136965212185,Gaussian
-15.0,1.8833253804299428,5.014957748290264e-11,236326.34634152957,0.26717136965212185,Gaussian
-15.0,1.8466201964032902,7.966941651796679e-11,283396.39631494536,0.26717136965212185,Gaussian
-15.0,1.8973205712695367,8.013535690539713e-11,298326.8649276511,0.26717136965212185,Gaussian
-15.0,1.9544095718415297,1.2699534183963453e-10,359567.37548635824,0.26717136965212185,Gaussian
-15.0,1.9395651978731197,7.155881357325536e-11,200566.7649964666,0.26717136965212185,Gaussian
-15.0,1.918794709554069,6.481889538999107e-11,262968.824693808,0.26717136965212185,Gaussian
-15.0,1.8397144476929974,2.6684853904973552e-11,241351.5177118783,0.26717136965212185,Gaussian
-15.0,1.9273553757243822,7.374464467735966e-11,272315.8530324029,0.26717136965212185,Gaussian
-15.0,1.8956059233583953,1.1898184777867086e-10,268632.9892355112,0.26717136965212185,Gaussian
-15.0,1.8627447361267724,5.674965994076751e-11,380045.20032686205,0.26717136965212185,Gaussian
-15.0,1.947460645763395,1.1730236900118803e-10,318012.38518788235,0.26717136965212185,Gaussian
-15.0,1.9316924129698794,1.752630502318913e-10,266596.15846606763,0.26717136965212185,Gaussian
-15.0,1.958359285732243,7.40621734781783e-11,287067.705300127,0.26717136965212185,Gaussian
-15.0,1.9105082475165795,6.351608570083836e-11,376888.8347490556,0.26717136965212185,Gaussian
-15.0,1.8630461892615633,4.705191915523654e-11,285098.57670307806,0.26717136965212185,Gaussian
-15.0,1.9122736199682036,1.2498118918072462e-10,452392.5836302217,0.26717136965212185,Gaussian
-15.0,1.9424513926262335,8.344462784663737e-11,271372.51287213917,0.26717136965212185,Gaussian
-15.0,1.9598912790097758,8.703835828182915e-11,325982.94586225494,0.26717136965212185,Gaussian
-15.0,1.8507796678821578,9.024731480496028e-11,318961.64642512595,0.26717136965212185,Gaussian
-15.0,1.839565487352026,7.612328229946202e-11,302280.4632360238,0.26717136965212185,Gaussian
-14.423076923076923,1.7515256087593254,2.8250031914835163e-10,238744.4431501275,0.26717136965212185,Gaussian
-14.423076923076923,1.851265883158764,1.1745712362457764e-10,156148.26126436083,0.26717136965212185,Gaussian
-14.423076923076923,1.8746250228469088,1.063988520233902e-10,171902.65787982612,0.26717136965212185,Gaussian
-14.423076923076923,1.7888887878048005,2.698430548464666e-10,202116.51074197405,0.26717136965212185,Gaussian
-14.423076923076923,1.8059977414917725,1.6289380204374095e-10,246672.24270620817,0.26717136965212185,Gaussian
-14.423076923076923,1.8267951923020551,1.8472567056103294e-10,238976.85269204868,0.26717136965212185,Gaussian
-14.423076923076923,1.7589123115448142,2.5385099352959024e-10,247282.8391804418,0.26717136965212185,Gaussian
-14.423076923076923,1.792116346411677,1.7652015689343208e-10,194867.03226982095,0.26717136965212185,Gaussian
-14.423076923076923,1.727933175083813,1.790408971325731e-10,155067.98415239298,0.26717136965212185,Gaussian
-14.423076923076923,1.8119236493591362,2.175745463715584e-10,174778.4865531735,0.26717136965212185,Gaussian
-14.423076923076923,1.867488015327842,2.800252901503668e-10,216376.21264602206,0.26717136965212185,Gaussian
-14.423076923076923,1.7647445695325144,2.3542616980889996e-10,255567.10775963037,0.26717136965212185,Gaussian
-14.423076923076923,1.8105734037734125,1.969078815071292e-10,295707.8588758368,0.26717136965212185,Gaussian
-14.423076923076923,1.8823156231736946,1.8615389056596895e-10,250974.37526358844,0.26717136965212185,Gaussian
-14.423076923076923,1.814364798565653,1.8268630893955827e-10,261253.36866677113,0.26717136965212185,Gaussian
-14.423076923076923,1.7583470624690154,2.2084879196018608e-10,207875.05951678942,0.26717136965212185,Gaussian
-14.423076923076923,1.7740135975904887,2.810814743602771e-10,247611.79945958,0.26717136965212185,Gaussian
-14.423076923076923,1.834160376898453,1.3891779611548627e-10,228434.34541835162,0.26717136965212185,Gaussian
-14.423076923076923,1.8394995388127011,1.488579288927635e-10,240323.94642078306,0.26717136965212185,Gaussian
-14.423076923076923,1.856164828189356,2.55665305121197e-10,171728.2622687161,0.26717136965212185,Gaussian
-14.423076923076923,1.8355906419915144,2.373041106833453e-10,284602.14556796185,0.26717136965212185,Gaussian
-14.423076923076923,1.8323865553182361,2.450553227223628e-10,260145.2581911607,0.26717136965212185,Gaussian
-14.423076923076923,1.7843431756087331,2.608636657277847e-10,197656.44769963576,0.26717136965212185,Gaussian
-14.423076923076923,1.9045216337806288,2.701131192396526e-10,256161.3509971188,0.26717136965212185,Gaussian
-14.423076923076923,1.916757673788565,3.3277021366877715e-10,191713.06960881583,0.26717136965212185,Gaussian
-14.423076923076923,1.772258567132117,1.6864421953689004e-10,265939.419363982,0.26717136965212185,Gaussian
-14.423076923076923,1.8460910248410436,1.272056875510214e-10,191218.00418835672,0.26717136965212185,Gaussian
-14.423076923076923,1.820305213309804,1.956533791700758e-10,243315.8698310581,0.26717136965212185,Gaussian
-14.423076923076923,1.6708948868278908,2.0062384124145117e-10,264286.4710187988,0.26717136965212185,Gaussian
-14.423076923076923,1.847567766375868,1.5972423113809171e-10,261969.91068257185,0.26717136965212185,Gaussian
-14.423076923076923,1.8229256319090983,1.70400638030498e-10,176615.14376253766,0.26717136965212185,Gaussian
-14.423076923076923,1.7086803571532767,2.568453952715613e-10,211660.57975520636,0.26717136965212185,Gaussian
